loan_id,Default,Kwota_Kredytu,Dlugosc_Kredytu,Rata_Kredytu,Wiek,Plec,Bezrobocie,Przestepczosc,Srednia_Pensja,Urbanizacja,Staz_Klienta,Czestosc_Wyciagu,Posiada_Karte,Posiada_Karte_Gold,Liczba_Zlecen,Suma_Zlecen,Oplaca_Ubezpieczenie,Oplaca_Mieszkanie,Srednie_Saldo,Min_Saldo,Max_Saldo,Odchylenie_Salda,Suma_Wplywow,Suma_Wydatkow,Liczba_Transakcji,Liczba_Kar,Srednie_Saldo_3M,Min_Saldo_3M,Wplywy_3M,Wskaznik_DTI,Wskaznik_Oszczedzania
4959,0,80952,24,3373,48.514715948,0,0.29,85677,12541,1204953,10.296052632,1,0,0,2,10638.7,0,1,32590.624074,1100,67529.6,12061.705682,228685.3,153017.6,54,0,30317.131579,16858.9,71204.4,0.1421060171,0.6691201003
4961,1,30276,12,2523,56.829568789,1,1.51,2299,9104,103347,12.763157895,1,0,0,1,2523.2,0,0,25197.0925,715,58157.5,15039.248405,242179.2,198016.8,80,0,15123.228571,715,53573.5,0.141274626,0.8176465293
4962,0,30276,12,2523,35.438740589,0,4.09,5623,9893,228848,16.381578947,1,0,0,4,10614.2,1,1,62991.264634,900,119652.7,22476.34798,1009153.3,910688.4,164,0,68836.628571,31621.9,161258.6,0.0469361584,0.9024283006
4967,1,318480,60,5308,46.286105407,0,2.65,1563,8547,70646,13.881578947,1,0,0,4,10305.5,1,1,39953.97069,-1011.2,104761.5,23451.64718,447359.9,389337,116,1,20759.711111,-1011.2,90958.1,0.175063846,0.8702995724
4968,0,110736,48,2307,57.798767967,1,3.13,999,8402,51428,8.3552631579,0,0,0,4,9666.8,1,1,31383.449091,13841,55991.1,10950.811533,148403.7,105091,55,0,26212.342308,15670.6,49770.6,0.1390496167,0.7081446881
4973,0,165960,24,6915,51.835728953,1,1.12,1874,8427,93931,18.453947368,1,0,0,3,13753,0,1,52523.2448,700,107069.6,20955.646998,813241.8,750536.4,125,0,41550.152,22495.2,124930.3,0.1660486035,0.922894614
4986,0,102876,12,8573,55.110198494,0,4.75,18782,10673,323870,15.197368421,1,1,0,5,12438,1,1,33057.374576,900,60334.7,12670.953546,306055.9,265539.6,118,0,37618.253571,27185.8,65790.2,0.390906659,0.8676184069
4988,1,265320,36,7370,30.43394935,0,2.79,2166,8254,105606,20.921052632,1,0,0,1,7370.2,0,0,46266.574699,379,116038.4,28827.091844,368306.7,246535.3,83,4,15316.033333,379,52550.6,0.4207133289,0.669375905
4989,0,352704,48,7348,48.429842574,1,1.51,2299,9104,103347,16.875,1,1,0,1,7348,0,0,30797.4875,800,74693.6,16415.401618,255396.6,221202.2,56,0,25001.107692,20818.3,26993.3,0.8165563429,0.8661130723
4990,0,162576,36,4516,44.188911704,0,3.33,5796,9198,159617,13.75,1,1,0,3,7664,0,1,46148.297619,900,79652.2,12673.331276,331885.2,276345.4,84,0,46407.354545,31067,82644.4,0.1639253019,0.8326540844
4996,0,88440,12,7370,51.351129363,1,6.49,6949,9317,128118,5.8881578947,0,1,0,1,7370.2,0,0,62778.090323,200,103239,21638.25887,269640.8,175400,31,0,58414.616667,35900.5,105940.2,0.2086967356,0.6504963251
5002,0,104808,12,8734,54.915811088,0,3.51,2247,8512,125832,6.1184210526,1,0,0,5,17342,1,1,38709.83,500,57865.3,11517.175248,113646,85630.6,30,0,42186.01,28015.4,52271.4,0.5012396125,0.7534875536
5005,0,27456,12,2288,29.776865161,0,5.93,4980,8678,161227,7.9276315789,0,0,0,4,6985.3,1,1,48780.096,800,111282.3,24959.844823,460652,388265,75,0,52802.176316,21468.4,243958.5,0.028135587,0.842860027
5015,0,109344,12,9112,54.028747433,1,6.63,9878,10177,285387,16.578947368,1,1,0,2,18040,0,1,48376.258065,1000,80433.2,12283.907153,382156.5,315499.2,93,0,58076.064706,40113.8,69472.6,0.3934618773,0.8255763658
5027,0,160920,36,4470,27.422313484,0,7.08,2653,8965,85852,11.809210526,1,1,0,2,9682.5,0,1,51649.398305,700,74906,16029.138294,352218.8,287300.8,59,0,43198.233333,25428.1,81077.2,0.1653917973,0.8156889533
